NO,DISTRIK,RESORT,HURIA,Total Input Januari 2023,Total Terima Januari 2023,Target Januari 2023,% Januari 2023,Total Input Februari 2023,Total Terima Februari 2023,Target Februari 2023,% Februari 2023,Total Input Maret 2023,Total Terima Maret 2023,Target Maret 2023,% Maret 2023,Total Input April 2023,Total Terima April 2023,Target April 2023,% April 2023,Total Input Mei 2023,Total Terima Mei 2023,Target Mei 2023,% Mei 2023,Total Input Juni 2023,Total Terima Juni 2023,Target Juni 2023,% Juni 2023,Total Input Juli 2023,Total Terima Juli 2023,Target Juli 2023,% Juli 2023,Total Input Agustus 2023,Total Terima Agustus 2023,Target Agustus 2023,% Agustus 2023,Total Input September 2023,Total Terima September 2023,Target September 2023,% September 2023,Total Input Oktober 2023,Total Terima Oktober 2023,Target Oktober 2023,% Oktober 2023,Total Input November 2023,Total Terima November 2023,Target November 2023,% November 2023,Total Input Desember 2023,Total Terima Desember 2023,Target Desember 2023,% Desember 2023,Total Input Januari 2024,Total Terima Januari 2024,Target Januari 2024,% Januari 2024,Total Input Februari 2024,Total Terima Februari 2024,Target Februari 2024,% Februari 2024,Total Input Maret 2024,Total Terima Maret 2024,Target Maret 2024,% Maret 2024,Total Input April 2024,Total Terima April 2024,Target April 2024,% April 2024,Total Input Mei 2024,Total Terima Mei 2024,Target Mei 2024,% Mei 2024,Total Input Juni 2024,Total Terima Juni 2024,Target Juni 2024,% Juni 2024,Total Input Juli 2024,Total Terima Juli 2024,Target Juli 2024,% Juli 2024
3465,Distrik XXX Distrik Riau Pesisir,Resort HKBP Jaya Mukti,Huria HKBP Batu Bintang,2081200,2081200,3069000,67.81362007,1520750,1520750,3069000,49.55197133,2273150,2273150,3069000,74.06810036,3940750,3940750,3069000,128.4050179,2543750,2543750,3069000,82.88530466,3212550,3212550,3069000,104.6774194,3973750,3973750,3069000,129.4802867,3496900,3496900,3069000,113.9426523,3961100,3961100,3069000,129.0681004,3394050,3394050,3069000,110.5913978,3765850,3765850,3069000,122.7060932,6423450,6423450,3069000,209.3010753,2141150,2141150,3242021,66.04368078,3674550,3674550,3242021,113.3413386,5995550,5995550,3242021,184.932485,4701400,4701400,3242021,145.0144832,5005000,5005000,3242021,154.3790124,4807550,4807550,3242021,148.2886755,4514400,4514400,3242021,139.2464762
3466,Distrik XXX Distrik Riau Pesisir,Resort HKBP Kana,Huria HKBP Kana Babusalam,9146500,9146500,16879500,54.18703161,10621050,10621050,16879500,62.92277615,14198525,14198525,16879500,84.11697621,18548613,18548613,16879500,109.8884031,15497075,15497075,16879500,91.81003584,11885225,11885225,16879500,70.41218638,15372500,15372500,16879500,91.07201043,12176175,12176175,16879500,72.13587488,12864775,12864775,16879500,76.2153796,15994275,15994275,16879500,94.75562072,12249600,12249600,16879500,72.57086999,21929600,21929600,16879500,129.9185402,9727025,9727025,15367874,63.29453898,14384425,14384425,15367874,93.60061776,21093050,21093050,15367874,137.2541836,16693600,16693600,15367874,108.6266064,18726400,18726400,15367874,121.8542005,18682952,16232151,15367874,105.6239204,14700125,14700125,15367874,95.65490321
3467,Distrik XXX Distrik Riau Pesisir,Resort HKBP Kana,Huria HKBP Tegar Nauli,4994275,4994275,4603500,108.4886499,4667850,4667850,4603500,101.3978495,7124700,7124700,4603500,154.7670251,8912200,8912200,4603500,193.5961768,7238600,7238600,4603500,157.2412295,7117550,7117550,4603500,154.6117085,8598150,8598150,4603500,186.7741935,9185000,9185000,4603500,199.5221027,5745850,5745850,4603500,124.8148148,5964254,5964254,4603500,129.5591181,8735650,8735650,4603500,189.7610514,8692200,8692200,4603500,188.8172043,5019850,5019850,8069983,62.20397242,6432250,6432250,8069983,79.70586803,8011300,8011300,8069983,99.27282375,8505200,8505200,8069983,105.3930349,10430750,10430750,8069983,129.25368,10107350,10107350,8069983,125.2462366,7294100,7294100,8069983,90.38556835
3468,Distrik XXX Distrik Riau Pesisir,Resort HKBP Kana,Huria HKBP Sigulamo,2554231,2296281,3069000,74.82179863,1961465,1552650,3069000,50.59139785,1770450,1770450,3069000,57.68817204,2079000,2079000,3069000,67.74193548,2469500,1699500,3069000,55.37634409,1389300,1389300,3069000,45.2688172,1807850,1725350,3069000,56.21863799,2014117,1684667,3069000,54.89302704,1688500,1688500,3069000,55.01792115,2016850,2016850,3069000,65.71684588,2812700,2812700,3069000,91.64874552,3357200,2956250,3069000,96.32616487,755150,755150,2075416,36.38547645,1612600,1612600,2075416,77.70008519,1702800,1702800,2075416,82.04620182,1804550,1804550,2075416,86.94883339,1917300,1917300,2075416,92.38147918,3240050,2261600,2075416,108.9709244,2338600,1914550,2075416,92.24897563
3469,Distrik XXX Distrik Riau Pesisir,Resort HKBP Kana,Huria HKBP Sukabakti,1086250,1086250,3069000,35.39426523,1200650,1200650,3069000,39.1218638,1168200,1168200,3069000,38.06451613,1846900,1846900,3069000,60.17921147,1262800,1262800,3069000,41.14695341,899828,899828,3069000,29.31990877,974600,974600,3069000,31.7562724,944350,944350,3069000,30.77060932,1047750,1047750,3069000,34.13978495,1299100,1299100,3069000,42.3297491,1373350,1373350,3069000,44.74910394,918500,918500,3069000,29.92831541,641300,641300,1380632,46.44974186,1124750,1124750,1380632,81.46631398,1874400,1874400,1380632,135.763911,982300,982300,1380632,71.14857544,1310650,1310650,1380632,94.93116196,1681900,1681900,1380632,121.8210211,1230900,1230900,1380632,89.15482185
3470,Distrik XXX Distrik Riau Pesisir,Resort HKBP Kana,Huria HKBP Nommensen (Pospel),713900,713900,1534500,46.52329749,343750,343750,1534500,22.40143369,538450,538450,1534500,35.08960573,941600,807400,1534500,52.61648746,602800,602800,1534500,39.28315412,458700,458700,1534500,29.89247312,894300,894300,1534500,58.27956989,595650,595650,1534500,38.8172043,569800,569800,1534500,37.13261649,807950,807950,1534500,52.65232975,446600,446600,1534500,29.10394265,842050,842050,1534500,54.87455197,353100,353100,723064,48.8338515,398750,398750,723064,55.14726221,1055450,1055450,723064,145.9690982,410300,410300,723064,56.74463118,553850,553850,723064,76.59764557,213950,213950,723064,29.58935862,241450,241450,723064,33.39261808
3471,Distrik XXX Distrik Riau Pesisir,Resort HKBP Judika Duri XIII,Huria HKBP Sei Bangar Duri XIII,0,0,3069000,0,0,0,3069000,0,0,0,3069000,0,0,0,3069000,0,0,0,3069000,0,0,0,3069000,0,0,0,3069000,0,11574200,11574200,3069000,377.1326165,12269950,12269950,3069000,399.8028674,19674050,19674050,3069000,641.0573477,15063400,15063400,3069000,490.8243728,23531750,23531750,3069000,766.7562724,12257850,12257850,1741604,703.8253242,12429450,12429450,1741604,713.6783103,17314550,17314550,1741604,994.1726133,12906850,12906850,1741604,741.0898229,13919400,13919400,1741604,799.2287569,18618050,18618050,1741604,1069.017412,12240250,11688600,1741604,671.1399377
3472,Distrik XXX Distrik Riau Pesisir,Resort HKBP Judika Duri XIII,Huria HKBP PT. Murini POUK,0,0,3069000,0,0,0,3069000,0,0,0,3069000,0,0,0,3069000,0,0,0,3069000,0,0,0,3069000,0,0,0,3069000,0,2948000,2948000,3069000,96.05734767,1818300,1818300,3069000,59.24731183,562100,562100,3069000,18.31541219,3875850,3819750,3069000,124.4623656,3418250,3418250,3069000,111.3799283,1473450,1473450,1741604,84.60304409,2129600,2129600,1741604,122.2780839,3220800,3220800,1741604,184.9329698,1940950,1940950,1741604,111.4461152,2970550,2580050,1741604,148.1421724,3013450,3013450,1741604,173.0272783,3086050,3086050,1741604,177.1958493
3473,Distrik XXX Distrik Riau Pesisir,Resort HKBP Judika Duri XIII,Huria HKBP Perjuangan,0,0,3069000,0,0,0,3069000,0,0,0,3069000,0,0,0,3069000,0,0,0,3069000,0,0,0,3069000,0,0,0,3069000,0,2845150,2845150,3069000,92.70609319,4029850,4029850,3069000,131.3082437,4327400,4327400,3069000,141.0035842,3825954,3825954,3069000,124.6645161,5240400,5240400,3069000,170.7526882,2902900,2902900,1741604,166.6796815,2190100,2190100,1741604,125.7518931,4195950,4195950,1741604,240.9244581,1140700,1140700,1741604,65.49709348,4821300,4821300,1741604,276.8310132,3876400,3876400,1741604,222.5764295,4326300,4326300,1741604,248.408938
3474,Distrik XXX Distrik Riau Pesisir,Resort HKBP Judika Duri XIII,Huria HKBP Sukadame,0,0,3069000,0,0,0,3069000,0,0,0,3069000,0,0,0,3069000,0,0,0,3069000,0,0,0,3069000,0,0,0,3069000,0,1963500,1963500,3069000,63.97849462,2004750,2004750,3069000,65.32258065,1987150,1987150,3069000,64.74910394,1581250,1581250,3069000,51.52329749,3595900,3595900,3069000,117.1684588,1191850,1191850,1741604,68.43404126,1770450,1770450,1741604,101.6562893,2402400,2402400,1741604,137.9418054,2176900,2176900,1741604,124.9939711,1937650,1937650,1741604,111.2566347,1987700,1987700,1741604,114.1304223,2303950,2303950,1741604,132.2889704
3475,Distrik XXX Distrik Riau Pesisir,Resort HKBP Judika Duri XIII,Huria HKBP D 30 (Pospel),0,0,3069000,0,0,0,3069000,0,0,0,3069000,0,0,0,3069000,0,0,0,3069000,0,0,0,3069000,0,0,0,3069000,0,0,0,3069000,0,0,0,3069000,0,2140600,2140600,3069000,69.74910394,572000,572000,3069000,18.63799283,0,0,3069000,0,0,0,1741604,0,0,0,1741604,0,926750,926750,1741604,53.21244095,583550,583550,1741604,33.50646875,908600,908600,1741604,52.17029818,1325500,1325500,1741604,76.10800159,939400,939400,1741604,53.93878287
3476,Distrik XXX Distrik Riau Pesisir,Resort HKBP Maranatha,Huria HKBP Pardomuan Simpang Murini,8019550,8019550,33759000,23.75529488,11110550,11110550,33759000,32.91137178,15626050,15626050,33759000,46.28706419,15697000,15697000,33759000,46.49723037,12195700,12195700,33759000,36.12577387,11687500,11687500,33759000,34.62039752,12318350,12318350,33759000,36.48908439,13135650,13135650,33759000,38.91006843,10467600,10467600,33759000,31.00684262,14118500,14118500,33759000,41.82144021,11849200,11849200,33759000,35.09938091,22523050,22523050,33759000,66.71717172,10633150,10633150,14373159,73.97921362,11464750,11464750,14373159,79.76499808,22117700,22117700,14373159,153.8819685,15278450,15278450,14373159,106.2984832,18878200,18878200,14373159,131.3434298,17139650,17139650,14373159,119.2476198,14440800,14440800,14373159,100.4706064
3477,Distrik XXX Distrik Riau Pesisir,Resort HKBP Maranatha,Huria HKBP Immanuel Bukit Kerikil,724350,724350,3069000,23.60215054,328350,328350,3069000,10.69892473,1651650,1651650,3069000,53.8172043,1879350,1879350,3069000,61.23655914,873950,873950,3069000,28.47670251,985050,985050,3069000,32.09677419,1866975,1866975,3069000,60.83333333,1331000,1331000,3069000,43.36917563,1616450,1616450,3069000,52.6702509,1417350,1417350,3069000,46.1827957,1038400,1038400,3069000,33.83512545,2213750,2213750,3069000,72.13261649,1580700,1580700,1378301,114.6846734,1441550,1441550,1378301,104.5889106,1911250,1911250,1378301,138.6670981,1604350,1604350,1378301,116.400554,2014100,2014100,1378301,146.1291837,1832600,1832600,1378301,132.9607974,1859550,1804550,1378301,130.9256831
