NO,DISTRIK,RESORT,HURIA,Total Input Januari 2023,Total Terima Januari 2023,Target Januari 2023,% Januari 2023,Total Input Februari 2023,Total Terima Februari 2023,Target Februari 2023,% Februari 2023,Total Input Maret 2023,Total Terima Maret 2023,Target Maret 2023,% Maret 2023,Total Input April 2023,Total Terima April 2023,Target April 2023,% April 2023,Total Input Mei 2023,Total Terima Mei 2023,Target Mei 2023,% Mei 2023,Total Input Juni 2023,Total Terima Juni 2023,Target Juni 2023,% Juni 2023,Total Input Juli 2023,Total Terima Juli 2023,Target Juli 2023,% Juli 2023,Total Input Agustus 2023,Total Terima Agustus 2023,Target Agustus 2023,% Agustus 2023,Total Input September 2023,Total Terima September 2023,Target September 2023,% September 2023,Total Input Oktober 2023,Total Terima Oktober 2023,Target Oktober 2023,% Oktober 2023,Total Input November 2023,Total Terima November 2023,Target November 2023,% November 2023,Total Input Desember 2023,Total Terima Desember 2023,Target Desember 2023,% Desember 2023,Total Input Januari 2024,Total Terima Januari 2024,Target Januari 2024,% Januari 2024,Total Input Februari 2024,Total Terima Februari 2024,Target Februari 2024,% Februari 2024,Total Input Maret 2024,Total Terima Maret 2024,Target Maret 2024,% Maret 2024,Total Input April 2024,Total Terima April 2024,Target April 2024,% April 2024,Total Input Mei 2024,Total Terima Mei 2024,Target Mei 2024,% Mei 2024,Total Input Juni 2024,Total Terima Juni 2024,Target Juni 2024,% Juni 2024,Total Input Juli 2024,Total Terima Juli 2024,Target Juli 2024,% Juli 2024
1,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Padang Sidempuan,Huria HKBP Padangsidimpuan,34273800,34273800,207020000,16.55579171,21355675,21355675,207020000,10.31575452,30622900,30622900,207020000,14.7922423,40267425,40267425,207020000,19.450983,35502775,35502775,207020000,17.14944208,28614300,28614300,207020000,13.82199787,31491350,31491350,207020000,15.21174283,27875925,27875925,207020000,13.46532944,27497525,27497525,207020000,13.28254516,31679450,31679450,207020000,15.30260361,30671300,30671300,207020000,14.81562168,64339275,64339275,207020000,31.07877258,36210625,36210625,35986675,100.6223137,24394700,24394700,35986675,67.78814658,37644200,37644200,35986675,104.6059409,23967350,23967350,35986675,66.6006237,33677875,33677875,35986675,93.58429196,31054650,31054650,35986675,86.29485775,24900975,24900975,35986675,69.19498676
2,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Padang Sidempuan,Huria HKBP Dammerboer Hutaimbaru,3959450,3959450,61380000,6.450716846,3084400,3084400,61380000,5.025089606,3646775,3646775,61380000,5.941308244,5350400,5350400,61380000,8.716845878,3682800,3682800,61380000,6,3575550,3575550,61380000,5.825268817,4115650,4115650,61380000,6.705197133,3024175,3024175,61380000,4.926971326,2895750,2895750,61380000,4.717741935,3469950,3469950,61380000,5.653225806,2936725,2936725,61380000,4.784498208,6601105,6601105,61380000,10.75448843,3918750,3918750,4547249,86.17847846,3814250,3814250,4547249,83.8803857,4390100,4390100,4547249,96.54408633,3456200,3456200,4547249,76.0063942,4105200,4105200,4547249,90.27875975,3765850,3765850,4547249,82.8160059,3254350,3254350,4547249,71.5674466
3,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Padang Sidempuan,Huria HKBP Hutalimbong,3240600,3240600,4603500,70.39426523,2130150,2130150,4603500,46.27240143,2112000,2112000,4603500,45.8781362,3490850,3490850,4603500,75.83034648,3068175,3068175,4603500,66.64874552,1854600,1854600,4603500,40.28673835,2889150,2889150,4603500,62.75985663,2518450,2518450,4603500,54.70728793,2110900,2110900,4603500,45.85424134,2487650,2487650,4603500,54.03823178,1912900,1912900,4603500,41.55316607,5057250,5057250,4603500,109.8566308,3554650,3554650,3115899,114.0810405,2311925,2311925,3115899,74.19768741,3242800,3242800,3115899,104.072693,2178825,2178825,3115899,69.92604703,2649350,2649350,3115899,85.02682532,3563450,3563450,3115899,114.363463,3526600,3526600,3115899,113.1808188
4,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Padang Sidempuan,Huria HKBP Hutatonga,3092100,3092100,3682800,83.96057348,1219350,1219350,3682800,33.109319,1765500,1765500,3682800,47.9390681,3401200,3401200,3682800,92.35364397,2302850,2302850,3682800,62.52986858,1228700,1228700,3682800,33.36320191,1225400,1225400,3682800,33.27359618,1377200,1377200,3682800,37.39545998,1625800,1625800,3682800,44.14575866,1452550,1452550,3682800,39.44145759,1174800,1174800,3682800,31.89964158,3274150,3274150,3682800,88.90382318,2701600,2701600,2361134,114.4195967,1788050,1788050,2361134,75.72844235,1756150,1756150,2361134,74.37739662,1499850,1499850,2361134,63.52244303,1986600,1986600,2361134,84.1375373,2173050,2173050,2361134,92.03416663,1315600,1315600,2361134,55.71898927
5,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Padang Sidempuan,Huria HKBP Mompang,923450,923450,3069000,30.08960573,1024925,1024925,3069000,33.39605735,1249325,1249325,3069000,40.7078853,2027575,2027575,3069000,66.06630824,1385450,1385450,3069000,45.14336918,1147850,1147850,3069000,37.40143369,1948100,1948100,3069000,63.47670251,1138775,1138775,3069000,37.10573477,1069750,1069750,3069000,34.85663082,1420375,1420375,3069000,46.28136201,1316700,1316700,3069000,42.90322581,2639589,2639589,3069000,86.00811339,1609850,1609850,1610017,99.98962744,1169850,1169850,1610017,72.66072346,1298000,1298000,1610017,80.62026674,789250,789250,1610017,49.02122152,1320000,1320000,1610017,81.98671194,2020700,2020700,1610017,125.5079915,1229250,1229250,1610017,76.3501255
6,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Padang Sidempuan,Huria HKBP Tangsimanunggang,2520650,2520650,3069000,82.13261649,1073050,1073050,3069000,34.96415771,1314500,1314500,3069000,42.83154122,1934350,1934350,3069000,63.02867384,1804550,1804550,3069000,58.79928315,1315050,1315050,3069000,42.84946237,1616450,1616450,3069000,52.6702509,1119800,1064800,3069000,34.6953405,931150,931150,3069000,30.34050179,1261150,1261150,3069000,41.09318996,863500,836000,3069000,27.24014337,2594350,2594350,3069000,84.53405018,2621850,2451350,1920508,127.6407076,1584550,1183050,1920508,61.60088893,2083950,2083950,1920508,108.5103525,1397000,1192950,1920508,62.11637754,1926650,1684650,1920508,87.71897852,2082300,1422300,1920508,74.05853035,874500,874500,1920508,45.53482724
7,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Padang Sidempuan,Huria HKBP Tinjoman,1477850,1477850,3069000,48.15412186,1427525,1427525,3069000,46.51433692,1004300,1004300,3069000,32.72401434,1462725,1462725,3069000,47.66129032,2063325,2063325,3069000,67.2311828,1162150,1162150,3069000,37.86738351,2472250,2472250,3069000,80.55555556,1251250,1251250,3069000,40.77060932,1796850,1796850,3069000,58.5483871,2035550,2035550,3069000,66.32616487,2138125,2138125,3069000,69.66845878,2368300,2368300,3069000,77.16845878,1462450,1462450,1836169,79.64680811,1101650,1101650,1836169,59.99720069,1866700,1866700,1836169,101.6627554,1759450,1759450,1836169,95.82178982,1518000,1518000,1836169,82.67212876,2046550,2046550,1836169,111.4576055,2065250,2065250,1836169,112.4760303
8,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Padang Sidempuan,Huria HKBP Dame Mayor PMB Alboin Hutabarat,11654225,11654225,9207000,126.5800478,8481550,8481550,9207000,92.12066906,7763525,7763525,9207000,84.32198327,13960375,13960375,9207000,151.6278375,9019175,9019175,9207000,97.95997611,7379350,7379350,9207000,80.14934289,9592550,9592550,9207000,104.1875747,7448650,7448650,9207000,80.90203106,6472400,6472400,9207000,70.29868578,9672850,9672850,9207000,105.0597372,8947400,8947400,9207000,97.18040621,22694650,22694650,9207000,246.4934289,12463550,12463550,11254203,110.7457365,9442950,9442950,11254203,83.90598606,12500950,12500950,11254203,111.0780568,9760850,9760850,11254203,86.73070852,9930800,9930800,11254203,88.24081101,10474750,10474750,11254203,93.0741164,8473850,8473850,11254203,75.29498091
9,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Sipirok,Huria HKBP Sipirok,7373300,7373300,5600927,131.6442796,3489200,3489200,5600927,62.29683051,5690300,5690300,5600927,101.5956823,8739995,8739995,5600927,156.0455082,6045050,6045050,5600927,107.9294552,0,0,5600927,0,5178250,5178250,5600927,92.45344565,4096950,4096950,5600927,73.14771287,4511650,4221800,5600927,75.37680816,5161200,4941200,5600927,88.22111054,4025450,4025450,5600927,71.87113847,9788625,9513625,5600927,169.8580431,5844300,5171650,6347555,81.47467805,3587650,3477650,6347555,54.78723698,5304750,5304750,6347555,83.57154842,4452800,4287800,6347555,67.55041902,8498600,5198600,6347555,81.89925097,5185400,5185400,6347555,81.69129689,3893450,3893450,6347555,61.33779069
10,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Sipirok,Huria HKBP Arse,801350,801350,1534500,52.22222222,510950,510950,1534500,33.29749104,204050,204050,1534500,13.29749104,733700,733700,1534500,47.81362007,158950,158950,1534500,10.35842294,68200,68200,1534500,4.444444444,669269,669269,1534500,43.61479309,556050,556050,1534500,36.23655914,2682350,2682350,1534500,174.8028674,887700,887700,1534500,57.84946237,558250,558250,1534500,36.37992832,1712425,1712425,1534500,111.5949821,876150,876150,521895,167.8785963,799150,799150,521895,153.1246707,1527900,1527900,521895,292.7600379,1127500,1127500,521895,216.0396248,1299650,1299650,521895,249.0251871,1221550,1221550,521895,234.0604911,710600,710600,521895,136.1576562
11,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Sipirok,Huria HKBP Lancat,635800,635800,1534500,41.43369176,472175,472175,1534500,30.77060932,391600,391600,1534500,25.51971326,1154725,1154725,1534500,75.25089606,172150,172150,1534500,11.21863799,0,0,1534500,0,521125,521125,1534500,33.96057348,814550,737000,1534500,48.02867384,567875,567875,1534500,37.00716846,3405325,3405325,1534500,221.9175627,410025,410025,1534500,26.72043011,1000175,1000175,1534500,65.17921147,498300,498300,647794,76.92260194,458975,458975,647794,70.85199925,827750,827750,647794,127.7798189,654225,654225,647794,100.9927539,464475,464475,647794,71.70103459,501325,501325,647794,77.38957138,2812425,2812425,647794,434.1542219
12,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Sipirok,Huria HKBP Sipogu,997700,997700,1534500,65.01792115,585750,585750,1534500,38.17204301,548900,548900,1534500,35.77060932,1256750,1256750,1534500,81.89964158,493350,493350,1534500,32.15053763,0,0,1534500,0,263450,263450,1534500,17.16845878,429275,429275,1534500,27.97491039,603350,596750,1534500,38.88888889,2814900,2814900,1534500,183.4408602,732050,583000,1534500,37.99283154,1643125,1643125,1534500,107.078853,1418450,1418450,802280,176.8023633,587950,587950,802280,73.28488807,886050,886050,802280,110.4414917,602800,602800,802280,75.13586279,655600,655600,802280,81.71710625,2649900,2649900,802280,330.296156,755150,597850,802280,74.51887122
13,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Sipirok,Huria HKBP Somba Debata,1001550,1001550,1534500,65.2688172,541200,541200,1534500,35.2688172,702900,702900,1534500,45.80645161,1332100,1332100,1534500,86.81003584,368500,368500,1534500,24.01433692,166100,166100,1534500,10.82437276,964700,964700,1534500,62.86738351,805750,805750,1534500,52.50896057,700150,700150,1534500,45.62724014,3551900,3551900,1534500,231.4695341,979550,979550,1534500,63.83512545,4076050,4076050,1534500,265.6272401,3208150,3208150,842115,380.9634076,1428350,1428350,842115,169.6146013,1866700,1866700,842115,221.668062,1163800,1163800,842115,138.1996521,1540000,1540000,842115,182.8728855,1379950,1379950,842115,163.8671678,1263900,1263900,842115,150.0863896
14,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Sipirok,Huria HKBP Padang Mandailing,505450,505450,1534500,32.9390681,320100,320100,1534500,20.86021505,332200,332200,1534500,21.64874552,665500,665500,1534500,43.36917563,272250,272250,1534500,17.74193548,184800,184800,1534500,12.04301075,414700,414700,1534500,27.02508961,340450,340450,1534500,22.18637993,330000,327250,1534500,21.32616487,419650,419650,1534500,27.34767025,311300,311300,1534500,20.28673835,830500,830500,1534500,54.1218638,1302950,1034000,447012,231.3137008,410850,410850,447012,91.91028429,545050,545050,447012,121.9318497,332200,332200,447012,74.31567833,290400,290400,447012,64.96469893,370150,370150,447012,82.8053833,341000,341000,447012,76.28430557
15,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Sipirok,Huria HKBP Muaratolang,2338050,2338050,1534500,152.3655914,1893540,1893540,1534500,123.3978495,1535050,1535050,1534500,100.0358423,3085775,3085775,1534500,201.09319,843150,843150,1534500,54.94623656,0,0,1534500,0,2195050,2195050,1534500,143.046595,6134700,6134700,1534500,399.7849462,1671450,1671450,1534500,108.9247312,2885300,2885300,1534500,188.0286738,2094950,2094950,1534500,136.5232975,5137000,5137000,1534500,334.7670251,3993000,3993000,2300971,173.5354335,2583350,2583350,2300971,112.2721668,3677025,3677025,2300971,159.8031874,2874300,2874300,2300971,124.9168286,4009500,4009500,2300971,174.2525221,3816450,3816450,2300971,165.8625858,2818475,2818475,2300971,122.4906789
16,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Sipirok,Huria HKBP Bulu Mario,598950,598950,1534500,39.03225806,570350,570350,1534500,37.16845878,200200,200200,1534500,13.04659498,284900,284900,1534500,18.56630824,117150,117150,1534500,7.634408602,116050,116050,1534500,7.562724014,239525,239525,1534500,15.609319,1036200,1036200,1534500,67.52688172,215600,215600,1534500,14.05017921,313500,313500,1534500,20.43010753,291500,291500,1534500,18.99641577,787600,787600,1534500,51.32616487,943250,943250,352820,267.3459554,282700,282700,352820,80.12584321,500500,500500,352820,141.8570376,396000,396000,352820,112.2385352,332475,332475,352820,94.23360354,693000,693000,352820,196.4174367,426250,426250,352820,120.8123122
17,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Sipirok,Huria HKBP Pargodungan,961950,961950,1534500,62.68817204,635800,635800,1534500,41.43369176,640750,640750,1534500,41.7562724,1031800,1031800,1534500,67.24014337,433400,433400,1534500,28.2437276,234300,234300,1534500,15.2688172,437250,437250,1534500,28.49462366,821700,821700,1534500,53.5483871,2120800,2120800,1534500,138.2078853,994400,994400,1534500,64.80286738,748550,660550,1534500,43.04659498,1903000,1903000,1534500,124.0143369,1856250,1200650,725710,165.4448747,953700,816750,725710,112.544956,1264450,1264450,725710,174.2362652,1037300,1037300,725710,142.9358835,1091200,1091200,725710,150.3630927,1188550,1188550,725710,163.777542,848650,848650,725710,116.9406512
18,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Sipirok,Huria HKBP Lobu Hatongga,1224300,1224300,1534500,79.78494624,363000,363000,1534500,23.65591398,335500,335500,1534500,21.86379928,500500,500500,1534500,32.61648746,140800,140800,1534500,9.17562724,122650,122650,1534500,7.992831541,164450,164450,1534500,10.71684588,193600,193600,1534500,12.61648746,247500,247500,1534500,16.12903226,416350,416350,1534500,27.13261649,422950,422950,1534500,27.56272401,979000,979000,1534500,63.79928315,482900,482900,472920,102.1102935,465850,465850,472920,98.50503256,518100,518100,472920,109.5534128,359150,359150,472920,75.94307705,338250,338250,472920,71.52372494,476300,476300,472920,100.7147086,356950,356950,472920,75.47788209
19,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Sipirok,Huria HKBP Gunung Tua,12953875,12953875,8593200,150.7456477,11352550,11352550,8593200,132.1108551,12335950,12335950,8593200,143.5547875,20843900,20843900,8593200,242.562724,14724875,14724875,8593200,171.3549667,17637400,17637400,8593200,205.2483359,16312450,16312450,8593200,189.8297491,12797950,12797950,8593200,148.9311316,15493500,15493500,8593200,180.2995392,16707350,16707350,8593200,194.4252432,15830650,15830650,8593200,184.2229903,25920950,25920950,8593200,301.6449053,13709850,13709850,17598667,77.90277525,8595400,8595400,17598667,48.84119917,19927050,19927050,17598667,113.2304509,13363900,13363900,17598667,75.93700136,17448200,17448200,17598667,99.14500911,21194250,19214250,17598667,109.1801442,12602425,12602425,17598667,71.61011115
20,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Sipirok,Huria HKBP Immanuel Siboris Dolok,2345200,2345200,1534500,152.8315412,2253350,2253350,1534500,146.8458781,2508550,2508550,1534500,163.4767025,3117950,3117950,1534500,203.1899642,2331450,2331450,1534500,151.9354839,2027300,2027300,1534500,132.1146953,1981100,1981100,1534500,129.1039427,1956350,1956350,1534500,127.4910394,2006400,2006400,1534500,130.7526882,3118500,3118500,1534500,203.2258065,2007500,2007500,1534500,130.8243728,3741100,3741100,1534500,243.7992832,2798400,2798400,2747571,101.8499613,2591050,2591050,2747571,94.30329553,3626700,3626700,2747571,131.996589,2385350,1925000,2747571,70.06188375,2802250,2802250,2747571,101.9900851,2670250,2670250,2747571,97.1858416,2239050,2239050,2747571,81.49197964
21,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Sipirok,Huria HKBP Batang Pane,1973950,1973950,1534500,128.6379928,1345850,1345850,1534500,87.70609319,1312300,1312300,1534500,85.51971326,2897950,2897950,1534500,188.8530466,771100,771100,1534500,50.25089606,0,0,1534500,0,2161500,2161500,1534500,140.8602151,2175800,2175800,1534500,141.7921147,2584450,2584450,1534500,168.4229391,3502400,3502400,1534500,228.2437276,2646600,2646600,1534500,172.4731183,3763925,3763925,1534500,245.2867384,2438700,2438700,2024644,120.4508052,2880625,2880625,2024644,142.2780993,4057900,4057900,2024644,200.4253587,3265900,3265900,2024644,161.3073706,2405700,2405700,2024644,118.820889,3975400,3975400,2024644,196.3505683,3930850,3476550,2024644,171.7116688
22,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Simangambat,Huria HKBP Simangambat,3089900,3089900,1534500,201.3620072,1811150,1811150,1534500,118.0286738,1799050,1799050,1534500,117.2401434,3579950,3579950,1534500,233.297491,2613600,2613600,1534500,170.3225806,2798950,2798950,1534500,182.4014337,2886950,2886950,1534500,188.1362007,1596650,1596650,1534500,104.0501792,1869450,1869450,1534500,121.827957,4697000,4697000,1534500,306.09319,3557950,3557950,1534500,231.8637993,5152950,5152950,1534500,335.8064516,3564660,3564660,3081735,115.6705557,2270950,2270950,3081735,73.69063206,3373150,3373150,3081735,109.4561992,5030300,5030300,3081735,163.2294795,2318800,2305050,3081735,74.7971516,2741750,2051500,3081735,66.5696434,2191750,2191750,3081735,71.12065119
23,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Simangambat,Huria HKBP Galanggang,1007873,1007873,1534500,65.68087325,376200,376200,1534500,24.51612903,592900,592900,1534500,38.63799283,1015850,1015850,1534500,66.20071685,532400,532400,1534500,34.6953405,392700,392700,1534500,25.59139785,547800,547800,1534500,35.69892473,402600,402600,1534500,26.23655914,363000,363000,1534500,23.65591398,465300,465300,1534500,30.32258065,3243900,3243900,1534500,211.3978495,1019700,1019700,1534500,66.4516129,820050,792550,713896,111.0175712,475200,475200,713896,66.56431749,745250,745250,713896,104.3919563,553300,553300,713896,77.50428634,562100,562100,713896,78.73695888,400400,400400,713896,56.08660085,389950,389950,713896,54.6228022
24,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Simangambat,Huria HKBP Sipangimbar,4215200,4215200,1534500,274.6953405,2382600,2382600,1534500,155.2688172,2019600,2019600,1534500,131.6129032,7047700,7047700,1534500,459.2831541,4348300,4348300,1534500,283.3691756,2195600,2195600,1534500,143.0824373,3418800,3418800,1534500,222.7956989,3948450,3948450,1534500,257.311828,3847800,3847800,1534500,250.7526882,3036550,3036550,1534500,197.8853047,3212550,3212550,1534500,209.3548387,5856400,5856400,1534500,381.6487455,4385150,4385150,4023288,108.9941858,4430800,4430800,4023288,110.12883,6505400,6505400,4023288,161.6936197,3691600,3691600,4023288,91.75579775,2851750,2851750,4023288,70.88108035,2753300,2753300,4023288,68.4340768,2988700,2988700,4023288,74.28501266
25,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Simangambat,Huria HKBP Silantomjulu,5380649,5380649,1534500,350.6450961,3971000,3971000,1534500,258.781362,4363700,4363700,1534500,284.3727599,8257700,8257700,1534500,538.1362007,5513750,5513750,1534500,359.3189964,4388450,4388450,1534500,285.9856631,6100600,6100600,1534500,397.562724,8387500,8387500,1534500,546.5949821,7101050,7101050,1534500,462.7598566,7283650,7283650,1534500,474.6594982,5734300,5734300,1534500,373.6917563,11636350,11636350,1534500,758.3154122,5058900,5058900,6298942,80.31348757,7069150,6084100,6298942,96.58923673,10603450,10603450,6298942,168.3370001,11292050,11237050,6298942,178.3958322,7510800,7510800,6298942,119.2390722,9492450,9492450,6298942,150.6991174,6261750,6206750,6298942,98.53638913
26,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Simangambat,Huria HKBP Sukarame,1093950,625351,1534500,40.75275334,251350,251350,1534500,16.37992832,159500,159500,1534500,10.39426523,415250,415250,1534500,27.0609319,308000,308000,1534500,20.07168459,192500,192500,1534500,12.54480287,269500,269500,1534500,17.56272401,220000,220000,1534500,14.33691756,2519000,2519000,1534500,164.1577061,264000,264000,1534500,17.20430108,175450,175450,1534500,11.43369176,537350,537350,1534500,35.01792115,258500,258500,368466,70.15572672,206250,206250,368466,55.97531387,357500,291500,368466,79.11177693,231000,231000,368466,62.69235153,271150,271150,368466,73.5888793,236500,236500,368466,64.18502657,2469500,2469500,368466,670.2110914
27,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Simangambat,Huria HKBP Silantomjae,194148,194148,1534500,12.65219941,162250,162250,1534500,10.5734767,231000,231000,1534500,15.05376344,462000,462000,1534500,30.10752688,447700,447700,1534500,29.17562724,212300,212300,1534500,13.83512545,301400,301400,1534500,19.64157706,154000,154000,1534500,10.03584229,194700,194700,1534500,12.68817204,194150,194150,1534500,12.65232975,224950,224950,1534500,14.65949821,320100,237600,1534500,15.48387097,356400,201850,333525,60.52020088,140250,140250,333525,42.05082078,225500,225500,333525,67.6111236,189750,189750,333525,56.89228694,189200,189200,333525,56.72738176,140250,140250,333525,42.05082078,162250,162250,333525,48.64702796
28,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Simangambat,Huria HKBP Ulumanis,85250,85250,1534500,5.555555556,159500,159500,1534500,10.39426523,211750,211750,1534500,13.79928315,478500,478500,1534500,31.1827957,222750,222750,1534500,14.51612903,128700,128700,1534500,8.387096774,200750,200750,1534500,13.08243728,135300,135300,1534500,8.817204301,140250,140250,1534500,9.139784946,159500,159500,1534500,10.39426523,131450,131450,1534500,8.566308244,162250,162250,1534500,10.5734767,0,0,246677,0,167750,167750,246677,68.00390794,218350,218350,246677,88.51656214,137500,137500,246677,55.74090815,178750,178750,246677,72.4631806,126500,126500,246677,51.2816355,126500,126500,246677,51.2816355
29,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Simangambat,Huria HKBP Sigolang,2141692,2141692,1534500,139.5693711,1912900,1912900,1534500,124.6594982,3614050,3278000,1534500,213.6200717,3551900,3551900,1534500,231.4695341,2576750,2521750,1534500,164.3369176,1962950,1962950,1534500,127.921147,2103200,2103200,1534500,137.0609319,1511950,1511950,1534500,98.53046595,1761100,1761100,1534500,114.7670251,2356200,2330900,1534500,151.8996416,1445400,1445400,1534500,94.19354839,3794450,2390300,1534500,155.7706093,2406800,2406800,2898094,83.04768582,2214850,2214850,2898094,76.42436719,3952300,3952300,2898094,136.3758387,2735150,2707650,2898094,93.42864655,2250050,2250050,2898094,77.63895857,1606550,1606550,2898094,55.43470985,2096600,2096600,2898094,72.34409926
30,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Batangtoru,Huria HKBP Batangtoru,7895800,7895800,4603500,171.5173238,5240950,5240950,4603500,113.8470729,9067300,9067300,4603500,196.9653524,15169550,15169550,4603500,329.5221027,10262450,10262450,4603500,222.9271207,9688800,9688800,4603500,210.4659498,10401600,10401600,4603500,225.9498208,7504200,7504200,4603500,163.0107527,6843100,6843100,4603500,148.6499403,10056200,10056200,4603500,218.4468339,8360000,8360000,4603500,181.6009558,15766300,15766300,4603500,342.4850657,9120650,9120650,11233586,81.19090378,5756850,5756850,11233586,51.24677018,9403900,9403900,11233586,83.71236042,11211200,11211200,11233586,99.80072258,10600150,10600150,11233586,94.36123069,10395550,10395550,11233586,92.53990667,8075650,8075650,11233586,71.88844239
31,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Batangtoru,Huria HKBP Huta Godang,3287075,3287075,1534500,214.2114695,2540175,2540175,1534500,165.5376344,3103100,3103100,1534500,202.2222222,4251225,4251225,1534500,277.0430108,3367150,3367150,1534500,219.4297817,3121580,3121580,1534500,203.4265233,3587935,3587935,1534500,233.817856,3014000,3014000,1534500,196.4157706,3009600,3009600,1534500,196.1290323,5936150,5936150,1534500,386.8458781,4423375,4423375,1534500,288.2616487,7791575,7791575,1534500,507.7598566,3849450,3849450,3857775,99.78420203,2181850,2181850,3857775,56.55721238,3725425,3725425,3857775,96.56926596,3920950,3920950,3857775,101.637602,3740550,3514500,3857775,91.1017361,4087050,4087050,3857775,105.9431926,0,0,3857775,0
32,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Batangtoru,Huria HKBP Tindoan Laut,1436875,1436875,1534500,93.63799283,761475,761475,1534500,49.62365591,1097800,1097800,1534500,71.54121864,1111550,1111550,1534500,72.43727599,1356575,1356575,1534500,88.40501792,1674750,993300,1534500,64.7311828,1291125,1291125,1534500,84.13978495,1367850,1094500,1534500,71.32616487,1358500,1084600,1534500,70.68100358,1387100,1387100,1534500,90.39426523,1112100,1112100,1534500,72.47311828,5476350,5114450,1534500,333.297491,920865,920865,1294236,71.1512429,1322200,1048300,1294236,80.9975924,1615350,1615350,1294236,124.8110855,1458050,1157200,1294236,89.41182288,1289750,1289750,1294236,99.65338624,487300,487300,1294236,37.65155659,0,0,1294236,0
33,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Batangtoru,Huria HKBP Aek Martolu,168025,168025,1534500,10.94982079,194425,194425,1534500,12.6702509,210650,210650,1534500,13.72759857,473550,473550,1534500,30.86021505,244750,244750,1534500,15.94982079,345400,345400,1534500,22.50896057,385550,385550,1534500,25.12544803,261525,261525,1534500,17.04301075,227150,227150,1534500,14.80286738,296450,296450,1534500,19.31899642,462550,462550,1534500,30.14336918,324775,324775,1534500,21.16487455,276650,276650,323764,85.4480424,261250,261250,323764,80.69149133,399856,399856,323764,123.5023041,325614,325614,323764,100.5714039,363550,363550,323764,112.2885806,306355,306355,323764,94.62293522,415250,415250,323764,128.257002
34,Distrik I Tapanuli Bagian Selatan - Sumatera Barat,Resort HKBP Batangtoru,Huria HKBP Adian Nauli,750750,345950,1534500,22.54480287,275000,275000,1534500,17.92114695,251350,251350,1534500,16.37992832,367950,367950,1534500,23.97849462,568700,450450,1534500,29.35483871,251350,251350,1534500,16.37992832,265650,265650,1534500,17.31182796,161150,161150,1534500,10.50179211,206250,206250,1534500,13.44086022,256850,256850,1534500,16.73835125,184800,184800,1534500,12.04301075,529650,529650,1534500,34.51612903,594000,594000,366185,162.213089,387750,387750,366185,105.8890998,459250,459250,366185,125.4147494,330000,330000,366185,90.11838278,313500,313500,366185,85.61246365,316250,316250,366185,86.36345017,269500,269500,366185,73.59667927
